latitud,longitud,Barrio,Ciudad,Area_total,Area_constr,MONEDA,Area_constr_cat,NroBanios,Dormitorios,Antiguedad,Cocheras,areas_diff,geohash_grado5,geohash_grado6,geohash_grado7,geohash_grado8,geohash_grado9,Precio_m2_total
-12.0362612,-77.039614,Rímac,Lima,194.0,194.0,S/,3.0,4.0,7.0,48.0,2.0,0.0,6mc5w,6mc5wb,6mc5wbv,6mc5wbv7,6mc5wbv7w,2345.360824742268
-12.0756385,-76.9110056,La Molina,Lima,945.0,724.0,USD,19.0,5.0,4.0,20.0,5.0,221.0,6mc73,6mc73c,6mc73ce,6mc73cen,6mc73cen7,5000.0
-12.088705319,-76.9557114391,La Molina,Lima,295.0,295.0,S/,8.0,4.0,4.0,19.0,3.0,0.0,6mc70,6mc70z,6mc70z6,6mc70z6d,6mc70z6d1,6738.393220338983
-11.952097,-77.05365929999998,Comas,Lima,190.0,156.0,S/,2.0,3.0,4.0,20.0,1.0,34.0,6mchn,6mchn8,6mchn85,6mchn85j,6mchn85jz,2795.7894736842104
-12.099139728388224,-77.0058140803975,San Borja,Lima,302.0,314.0,USD,9.0,3.0,5.0,32.0,2.0,-12.0,6mc5p,6mc5pt,6mc5ptq,6mc5ptqj,6mc5ptqj6,7185.430463576158
-12.112206,-77.0401449,San Isidro,Lima,326.0,290.0,S/,8.0,3.0,4.0,37.0,2.0,36.0,6mc5n,6mc5ng,6mc5ngj,6mc5ngj1,6mc5ngj16,9177.914110429449
-12.0761768,-77.09992779999997,San Miguel,Lima,283.0,207.0,S/,4.0,3.0,5.0,35.0,2.0,76.0,6mc5m,6mc5m9,6mc5m99,6mc5m99e,6mc5m99e1,5040.0
-12.1196767,-76.96934679999998,Santiago de Surco,Lima,658.0,1101.0,S/,19.0,5.0,5.0,18.0,5.0,-443.0,6mc70,6mc709,6mc7098,6mc7098t,6mc7098tu,8723.232522796352
-12.0979452,-77.03068469999998,Miraflores,Lima,160.0,130.0,USD,1.0,2.0,3.0,49.0,1.0,30.0,6mc5p,6mc5pj,6mc5pje,6mc5pjeu,6mc5pjeuq,6125.0
-12.076989670445142,-77.05707671857077,Pueblo Libre,Lima,200.0,200.0,S/,4.0,2.0,4.0,45.0,1.0,0.0,6mc5q,6mc5q9,6mc5q92,6mc5q92w,6mc5q92wr,6059.0
-12.10627559925018,-77.05334392460634,San Isidro,Lima,530.0,841.0,USD,19.0,5.0,5.0,21.0,4.0,-311.0,6mc5n,6mc5ns,6mc5ns5,6mc5ns57,6mc5ns57y,13867.924528301886
-12.0828454,-76.9283848,La Molina,Lima,2535.0,402.0,S/,14.0,4.0,4.0,21.0,4.0,2133.0,6mc73,6mc732,6mc732q,6mc732qk,6mc732qkq,3320.0
-12.1033978,-76.98021919999998,San Borja,Lima,797.0,493.0,USD,16.0,5.0,5.0,28.0,3.0,304.0,6mc70,6mc70k,6mc70k8,6mc70k8s,6mc70k8sw,6148.0552070263475
-12.1391531,-76.9980103,Santiago de Surco,Lima,304.0,210.0,S/,4.0,3.0,4.0,23.0,2.0,94.0,6mc4z,6mc4zy,6mc4zy5,6mc4zy5u,6mc4zy5u2,5361.911184210527
-12.090096699999998,-77.0156927,San Isidro,Lima,495.0,495.0,S/,16.0,4.0,5.0,35.0,4.0,0.0,6mc5p,6mc5pr,6mc5prn,6mc5prnf,6mc5prnfh,11474.747474747475
-12.11886,-77.04435169999998,Miraflores,Lima,314.0,250.0,S/,6.0,3.0,4.0,50.0,2.0,64.0,6mc5n,6mc5nc,6mc5ncf,6mc5ncf4,6mc5ncf48,8598.726114649682
-12.0717975,-77.025046,La Victoria,Lima,170.0,110.0,S/,0.0,1.0,3.0,57.0,1.0,60.0,6mc5r,6mc5r6,6mc5r62,6mc5r62h,6mc5r62hd,3911.7647058823527
