latitud,longitud,Barrio,Ciudad,Area_total,Area_constr,Area_constr_cat,NroBanios,Dormitorios,Antiguedad,Cocheras,areas_diff,areas_proporcion,diff_total_mean_district,geohash_grado5,geohash_grado6,geohash_grado7,geohash_grado8,geohash_grado9,bank_poi_count,parking_poi_count,clinic_poi_count,restaurant_poi_count,school_poi_count,bus_station_poi_count,college_poi_count,university_poi_count,marketplace_poi_count,police_poi_count,local_average_bedrooms,local_average_total_area,Precio_m2_total
-12.0980393433,-76.94643451479999,28,2,300.0,300.0,9.0,3.0,5.0,22.0,2.0,0.0,1.0,501.54895104895104,6mc71,6mc71j,6mc71j9,6mc71j97,6mc71j97f,1.0,1.0,0.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,4.4300172796840265,450.5233275734412,5375.77
-12.126608099999999,-76.96921069999998,48,2,508.0,508.0,17.0,4.0,4.0,22.0,4.0,0.0,1.0,-26.255639097744336,6mc70,6mc708,6mc7082,6mc7082t,6mc7082tr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.430264132313006,450.47198222661314,4612.204724409449
-12.1990036,-77.0056713,11,2,285.0,180.0,3.0,3.0,4.0,22.0,2.0,105.0,1.5833333333333333,-333.2334656084656,6mc4x,6mc4xe,6mc4xen,6mc4xenp,6mc4xenpt,0.0,3.0,0.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,4.431542461005292,451.2946273830126,4520.877192982456
-12.073486062702319,-76.96650482190374,18,2,1000.0,532.0,17.0,4.0,4.0,21.0,4.0,468.0,1.8796992481203008,-109.60586319218244,6mc72,6mc72d,6mc72d4,6mc72d4d,6mc72d4dy,2.0,2.0,1.0,8.0,4.0,0.0,0.0,1.0,0.0,1.0,4.430264132313006,450.3505307331548,5075.0
-12.030607400000001,-76.8901113,2,2,250.0,160.0,2.0,3.0,5.0,17.0,2.0,90.0,1.5625,329.69527896995714,6mc7d,6mc7d3,6mc7d3f,6mc7d3fk,6mc7d3fkd,0.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,4.4300172796840265,450.5356702048902,1723.12
-12.081241499999999,-76.89900179999998,18,2,450.0,385.0,13.0,4.0,4.0,13.0,3.0,65.0,1.1688311688311688,-471.2549019607843,6mc76,6mc760,6mc760e,6mc760ev,6mc760eve,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,4.433043478260946,450.77142857142877,5833.333333333332
-12.0829684,-76.90965439999998,18,2,308.0,253.0,6.0,3.0,4.0,17.0,2.0,55.0,1.2173913043478262,8.394136807817574,6mc73,6mc73b,6mc73bk,6mc73bk5,6mc73bk5e,0.0,1.0,0.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,4.43047666090396,450.55025932329255,5113.636363636364
-13.004534998199999,-76.4828569986,8,1,300.0,300.0,9.0,4.0,4.0,4.0,2.0,0.0,1.0,-448.2334656084657,6m9w5,6m9w58,6m9w58d,6m9w58dg,6m9w58dgh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.430264132313006,450.5233275734412,3840.0
-12.1989355,-77.02515919999998,11,2,414.0,338.0,11.0,4.0,4.0,25.0,3.0,76.0,1.2248520710059172,-25.684782608695656,6mc4x,6mc4x5,6mc4x5r,6mc4x5rb,6mc4x5rbp,0.0,0.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,4.430264132313006,450.4951863737374,3567.632850241546
-12.123411099999998,-77.00161920000002,16,2,480.0,480.0,16.0,5.0,10.0,40.0,2.0,0.0,1.0,-198.45104895104896,6mc5p,6mc5pc,6mc5pc1,6mc5pc10,6mc5pc10h,6.0,5.0,8.0,28.0,9.0,0.0,0.0,0.0,0.0,1.0,4.428783016539123,450.47889410022464,1285.0
-12.092477699999998,-76.94798369999998,18,2,300.0,369.0,12.0,4.0,4.0,15.0,3.0,-69.0,0.8130081300813008,-348.2334656084657,6mc71,6mc71n,6mc71n8,6mc71n8h,6mc71n8hn,7.0,1.0,3.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,4.430264132313006,450.5233275734412,7233.333333333332
-12.0785049,-76.9054084,18,2,1504.0,430.0,15.0,4.0,4.0,19.0,4.0,1074.0,3.497674418604652,107.76653439153436,6mc73,6mc73c,6mc73cp,6mc73cpj,6mc73cpjw,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.430264132313006,450.22611700814866,2367.48670212766
-12.08982511095526,-77.06421156350709,24,2,530.0,530.0,17.0,4.0,5.0,41.0,2.0,0.0,1.0,-48.233465608465615,6mc5n,6mc5nr,6mc5nr5,6mc5nr5e,6mc5nr5e9,3.0,3.0,3.0,23.0,11.0,0.0,1.0,1.0,0.0,1.0,4.4300172796840265,450.4665514687757,3242.264150943396
