latitud,longitud,Barrio,Ciudad,Area_total,Area_constr,MONEDA,Area_constr_cat,NroBanios,Dormitorios,Antiguedad,Cocheras,areas_diff,areas_proporcion,geohash_grado5,geohash_grado6,geohash_grado7,geohash_grado8,geohash_grado9,diff_total_mean_district,Precio_m2_total
-12.0359021,-77.0707478,Lima Cercado,Lima,160.0,160.0,S/,2.0,4.0,6.0,31.0,1.0,0.0,1.0,6mc5w,6mc5w0,6mc5w0y,6mc5w0yv,6mc5w0yvc,-140.3884615384615,2386.25
-12.089262118699999,-76.97270506719998,Santiago de Surco,Lima,391.0,391.0,S/,13.0,4.0,4.0,29.0,3.0,0.0,1.0,6mc70,6mc70r,6mc70rn,6mc70rnn,6mc70rnnv,582.7665343915344,21299.70588235294
-12.069379,-76.9418458,La Molina,Lima,290.0,250.0,S/,6.0,3.0,4.0,17.0,2.0,40.0,1.16,6mc73,6mc734,6mc734u,6mc734ud,6mc734udv,-86.60586319218243,6182.068965517241
-12.1131426,-76.96495959999999,Santiago de Surco,Lima,170.0,271.0,USD,7.0,3.0,4.0,28.0,2.0,-101.0,0.6273062730627307,6mc70,6mc70d,6mc70dg,6mc70dgg,6mc70dggf,-47.55913978494624,18508.823529411766
-12.1230948,-76.9752457,Santiago de Surco,Lima,821.0,400.0,S/,14.0,4.0,4.0,25.0,3.0,421.0,2.0525,6mc70,6mc703,6mc703h,6mc703h3,6mc703h3f,123.76653439153438,6065.773447015835
-12.7893261,-76.5842213,Asia,Cañete,600.0,600.0,S/,18.0,6.0,6.0,6.0,4.0,0.0,1.0,6m9x1,6m9x1r,6m9x1rc,6m9x1rc0,6m9x1rc0f,-286.45104895104896,4958.333333333333
-12.0239357,-77.0357543,Rímac,Lima,260.0,260.0,S/,7.0,4.0,10.0,40.0,1.0,0.0,1.0,6mc5x,6mc5x5,6mc5x50,6mc5x507,6mc5x5072,-153.87301587301585,3267.9230769230767
-12.09483427107156,-76.92173232523595,La Molina,Lima,808.0,260.0,S/,7.0,3.0,4.0,17.0,2.0,548.0,3.1076923076923078,6mc71,6mc71w,6mc71w5,6mc71w5q,6mc71w5q3,729.51875,2060.6435643564355
-12.0839088,-76.98856949999998,NoEspecifica,Lima,323.0,323.0,S/,10.0,5.0,5.0,20.0,2.0,0.0,1.0,6mc72,6mc720,6mc7204,6mc7204w,6mc7204wh,-407.45104895104896,4781.730650154799
-12.087532300000001,-76.9522759,La Molina,Lima,740.0,500.0,USD,17.0,4.0,4.0,21.0,4.0,240.0,1.48,6mc70,6mc70z,6mc70zt,6mc70zt1,6mc70zt14,104.39413680781757,5959.459459459459
-12.07438588642838,-76.90872955753154,La Molina,Lima,600.0,380.0,USD,13.0,4.0,4.0,13.0,3.0,220.0,1.5789473684210527,6mc73,6mc73c,6mc73cu,6mc73cuv,6mc73cuv8,848.7450980392157,5366.666666666667
-12.0986119,-76.9464651,La Molina,Lima,440.0,330.0,S/,10.0,4.0,4.0,15.0,3.0,110.0,1.3333333333333333,6mc71,6mc71j,6mc71j9,6mc71j92,6mc71j923,-36.55913978494624,3943.181818181818
-12.074162699999999,-77.1038087,San Miguel,Lima,170.0,170.0,S/,2.0,3.0,6.0,27.0,2.0,0.0,1.0,6mc5m,6mc5m3,6mc5m3y,6mc5m3yw,6mc5m3ywz,82.76653439153438,7200.0
-12.0538502,-77.07842690000003,Lima Cercado,Lima,350.0,350.0,S/,11.0,5.0,14.0,53.0,3.0,0.0,1.0,6mc5q,6mc5qj,6mc5qj9,6mc5qj9j,6mc5qj9jn,81.73076923076923,2171.428571428572
-12.31006707629946,-76.84240063356015,Lurín,Lima,252.0,123.0,S/,1.0,2.0,4.0,13.0,2.0,129.0,2.048780487804878,6mc3g,6mc3gr,6mc3grj,6mc3grj0,6mc3grj0d,-102.45104895104896,3359.476190476191
-12.1034037,-76.9986449,San Borja,Lima,345.0,345.0,S/,11.0,3.0,4.0,32.0,3.0,0.0,1.0,6mc5p,6mc5pu,6mc5pue,6mc5puek,6mc5puek9,279.6115384615385,6000.0
-12.1644097,-76.99399679999998,Santiago de Surco,Lima,330.0,330.0,S/,10.0,4.0,4.0,28.0,3.0,0.0,1.0,6mc4z,6mc4zc,6mc4zcw,6mc4zcw9,6mc4zcw9j,1125.548951048951,5257.575757575758
-12.09421354160546,-77.03924417495726,San Isidro,Lima,600.0,500.0,USD,17.0,4.0,5.0,31.0,3.0,100.0,1.2,6mc5n,6mc5ny,6mc5nym,6mc5nymd,6mc5nymdp,104.61153846153849,9916.666666666666
-12.081769394322839,-76.91865808266445,La Molina,Lima,587.0,400.0,S/,14.0,4.0,4.0,20.0,4.0,187.0,1.4675,6mc73,6mc738,6mc738t,6mc738td,6mc738td9,351.7665343915344,4534.923339011925
-12.0545913722,-77.094971246,Bellavista,Callao,302.0,302.0,S/,9.0,3.0,4.0,48.0,2.0,0.0,1.0,6mc5m,6mc5mt,6mc5mtt,6mc5mtt0,6mc5mtt0u,,4145.529801324504
-12.067510567000001,-76.96106824599998,Asia,Cañete,163.0,163.0,S/,2.0,4.0,4.0,8.0,2.0,0.0,1.0,6mc72,6mc72e,6mc72en,6mc72ent,6mc72entt,1251.548951048951,5531.361963190185
-12.09587990001207,-76.94867174651336,La Molina,Lima,160.0,255.0,S/,6.0,3.0,4.0,17.0,2.0,-95.0,0.6274509803921569,6mc70,6mc70y,6mc70yp,6mc70yp8,6mc70yp8m,169.39413680781757,7470.0
-12.085077400000001,-77.08061670000002,San Miguel,Lima,250.0,170.0,S/,2.0,3.0,6.0,27.0,2.0,80.0,1.4705882352941178,6mc5j,6mc5jz,6mc5jzz,6mc5jzzx,6mc5jzzx7,-98.23346560846562,5040.0
-12.0749736,-76.911726,La Molina,Lima,1504.0,400.0,USD,14.0,4.0,4.0,20.0,4.0,1104.0,3.76,6mc73,6mc73c,6mc73cf,6mc73cfd,6mc73cfd4,501.7665343915344,2559.840425531915
-12.07777480447052,-76.89847588747851,NoEspecifica,Lima,675.0,675.0,S/,19.0,6.0,5.0,20.0,4.0,0.0,1.0,6mc76,6mc761,6mc761k,6mc761k1,6mc761k1z,101.54895104895104,3397.777777777778
-12.090635699999998,-77.0615151,Magdalena,Lima,253.0,253.0,S/,6.0,3.0,4.0,47.0,2.0,0.0,1.0,6mc5n,6mc5nq,6mc5nqv,6mc5nqvw,6mc5nqvwb,-86.25563909774434,6118.577075098813
-12.1270849,-77.022242,Miraflores,Lima,275.0,306.0,S/,9.0,4.0,5.0,37.0,2.0,-31.0,0.8986928104575164,6mc5p,6mc5p2,6mc5p26,6mc5p264,6mc5p264e,203.74436090225566,7122.909090909091
