latitud,longitud,Barrio,Ciudad,Precio,Area_total,Area_constr,MONEDA,Precio_m2_total,Precio_m2_constr,Precio_cat,Area_constr_cat,NroBanios,Dormitorios,Antiguedad,Cocheras
12.077708010269461,76.90010811121986,La Molina,Lima,7000000.0,1312.0,1120.0,USD,5335.365853658536,6250.0,caro,"(787.525, 1574.05]",5.0,5.0,17.0,5.0
12.0783451,76.90651070000001,La Molina,Lima,5600000.0,1000.0,800.0,USD,5600.0,7000.0,medio,"(787.525, 1574.05]",5.0,5.0,17.0,5.0
12.07368959491158,76.91408636470925,La Molina,Lima,7700000.0,1200.0,800.0,USD,6416.666666666667,9625.0,caro,"(787.525, 1574.05]",5.0,5.0,17.0,5.0
12.0756385,76.9110056,La Molina,Lima,10343200.0,3694.0,800.0,USD,2800.0,12929.0,muy caro,"(787.525, 1574.05]",5.0,5.0,17.0,5.0
12.0703139,76.91067939999998,La Molina,Lima,5950000.0,1500.0,900.0,USD,3966.6666666666665,6611.111111111111,medio,"(787.525, 1574.05]",5.0,5.0,17.0,5.0
12.0665386,76.911124,La Molina,Lima,5980000.0,1508.0,900.0,S/,3965.5172413793102,6644.444444444444,medio,"(787.525, 1574.05]",5.0,5.0,17.0,5.0
12.078148141830681,76.96862973704835,La Molina,Lima,4900000.0,1000.0,800.0,USD,4900.0,6125.0,medio,"(787.525, 1574.05]",5.0,5.0,17.0,5.0
12.0777299,76.9000762,La Molina,Lima,8300000.0,1311.0,1070.0,S/,6331.045003813882,7757.009345794392,caro,"(787.525, 1574.05]",5.0,5.0,17.0,5.0
12.070824,76.9702786,La Molina,Lima,1399000.0,1134.0,800.0,S/,1233.6860670194003,1748.75,bajo,"(787.525, 1574.05]",5.0,5.0,17.0,5.0
12.0777299,76.9000762,La Molina,Lima,8715000.0,1311.0,1070.0,USD,6647.597254004577,8144.859813084112,caro,"(787.525, 1574.05]",5.0,5.0,17.0,5.0
12.0744384,76.9631368,La Molina,Lima,9296000.0,1200.0,1500.0,S/,7746.666666666667,6197.333333333333,caro,"(787.525, 1574.05]",5.0,5.0,17.0,5.0
12.0820196,76.928234,La Molina,Lima,4725000.0,1350.0,945.0,USD,3500.0,5000.0,medio,"(787.525, 1574.05]",5.0,5.0,17.0,5.0
12.0742935,76.9136304,La Molina,Lima,8750000.0,2352.0,800.0,USD,3720.2380952380954,10937.5,caro,"(787.525, 1574.05]",5.0,5.0,17.0,5.0
12.0795115,76.91893009999998,La Molina,Lima,7700000.0,1650.0,836.0,USD,4666.666666666667,9210.526315789473,caro,"(787.525, 1574.05]",5.0,5.0,17.0,5.0
12.07643389177341,76.9165087696045,La Molina,Lima,4550000.0,1200.0,800.0,USD,3791.6666666666665,5687.5,medio,"(787.525, 1574.05]",5.0,5.0,17.0,5.0
12.081372612770199,76.91927433013917,La Molina,Lima,10150000.0,1650.0,836.0,USD,6151.515151515152,12141.148325358852,muy caro,"(787.525, 1574.05]",5.0,5.0,17.0,5.0
12.0814656,76.9204771,La Molina,Lima,7700000.0,1650.0,836.0,USD,4666.666666666667,9210.526315789473,caro,"(787.525, 1574.05]",5.0,5.0,17.0,5.0
12.0937231,76.936367,La Molina,Lima,13125000.0,1150.0,850.0,USD,11413.04347826087,15441.176470588236,muy caro,"(787.525, 1574.05]",5.0,5.0,17.0,5.0
12.0844964,76.90094809999998,La Molina,Lima,4550000.0,1000.0,831.0,USD,4550.0,5475.3309265944645,medio,"(787.525, 1574.05]",5.0,5.0,17.0,5.0
12.0742882,76.9136232,La Molina,Lima,12894000.0,3684.0,1000.0,USD,3500.0,12894.0,muy caro,"(787.525, 1574.05]",5.0,5.0,17.0,5.0
12.08266302807811,76.9175738096237,La Molina,Lima,7700000.0,1650.0,836.0,USD,4666.666666666667,9210.526315789473,caro,"(787.525, 1574.05]",5.0,5.0,17.0,5.0
12.0759306,76.9690942,La Molina,Lima,7000000.0,1050.0,800.0,USD,6666.666666666667,8750.0,caro,"(787.525, 1574.05]",5.0,5.0,17.0,5.0
12.0818973,76.917462,La Molina,Lima,7700000.0,1650.0,836.0,USD,4666.666666666667,9210.526315789473,caro,"(787.525, 1574.05]",5.0,5.0,17.0,5.0
12.0756385,76.91100559999998,La Molina,Lima,8750000.0,3694.0,800.0,USD,2368.7060097455333,10937.5,caro,"(787.525, 1574.05]",5.0,5.0,17.0,5.0
12.0752812,76.9183184,La Molina,Lima,5425000.0,520.0,1000.0,USD,10432.692307692309,5425.0,medio,"(787.525, 1574.05]",5.0,5.0,17.0,5.0
12.072876403913071,76.88454776837283,La Molina,Lima,2450000.0,820.0,820.0,USD,2987.8048780487807,2987.8048780487807,bajo,"(787.525, 1574.05]",5.0,5.0,17.0,5.0
12.080841170344213,76.97261040317994,La Molina,Lima,9800000.0,1200.0,1500.0,USD,8166.666666666667,6533.333333333333,caro,"(787.525, 1574.05]",5.0,5.0,17.0,5.0
12.0963327,77.02807209999997,La Molina,Lima,4900000.0,945.0,945.0,USD,5185.185185185185,5185.185185185185,medio,"(787.525, 1574.05]",5.0,5.0,17.0,5.0
12.075576,76.91646369999998,La Molina,Lima,4550000.0,420.0,1050.0,USD,10833.333333333334,4333.333333333333,medio,"(787.525, 1574.05]",5.0,5.0,17.0,5.0
12.0793797,76.92634679999998,La Molina,Lima,6854400.0,2304.0,900.0,USD,2975.0,7616.0,caro,"(787.525, 1574.05]",5.0,5.0,17.0,5.0
12.0783451,76.90651070000001,La Molina,Lima,4550000.0,1500.0,1500.0,USD,3033.3333333333335,3033.3333333333335,medio,"(787.525, 1574.05]",5.0,5.0,17.0,5.0
12.07845257459458,76.92793359259029,La Molina,Lima,9000000.0,2304.0,822.0,S/,3906.25,10948.905109489051,caro,"(787.525, 1574.05]",5.0,5.0,17.0,5.0
12.0752812,76.9183184,La Molina,Lima,5598026.0,800.0,800.0,S/,6997.5325,6997.5325,medio,"(787.525, 1574.05]",5.0,5.0,17.0,5.0
12.0783118,76.9214556,La Molina,Lima,5425000.0,520.0,1000.0,USD,10432.692307692309,5425.0,medio,"(787.525, 1574.05]",5.0,5.0,17.0,5.0
12.0939619,76.9491493,La Molina,Lima,2340000.0,300.0,260.0,S/,7800.0,9000.0,bajo,"(-30.461, 787.525]",4.0,4.0,18.0,3.0
12.08114892670837,76.90086204597169,La Molina,Lima,1188000.0,300.0,298.0,S/,3960.0,3986.577181208054,bajo,"(-30.461, 787.525]",4.0,4.0,18.0,3.0
12.0854202,76.930038,La Molina,Lima,6685000.0,1281.0,325.0,S/,5218.579234972678,20569.23076923077,caro,"(-30.461, 787.525]",4.0,4.0,18.0,3.0
12.0783733,76.9686267,La Molina,Lima,5415000.0,1035.0,380.0,S/,5231.884057971014,14250.0,medio,"(-30.461, 787.525]",4.0,4.0,18.0,3.0
12.082582145,76.973710124,La Molina,Lima,4316000.0,1016.0,391.0,S/,4248.031496062992,11038.363171355499,medio,"(-30.461, 787.525]",4.0,4.0,18.0,3.0
12.0959037,76.92541339999998,La Molina,Lima,5220000.0,1180.0,330.0,S/,4423.728813559322,15818.181818181818,medio,"(-30.461, 787.525]",4.0,4.0,18.0,3.0
12.08667645602819,76.93003251849365,La Molina,Lima,4032000.0,1500.0,700.0,S/,2688.0,5760.0,medio,"(-30.461, 787.525]",4.0,4.0,18.0,3.0
12.08114892670837,76.90086204597169,La Molina,Lima,1744400.0,464.0,460.0,S/,3759.4827586206898,3792.1739130434785,bajo,"(-30.461, 787.525]",4.0,4.0,18.0,3.0
12.0774737,76.9029441,La Molina,Lima,1699000.0,431.0,364.0,S/,3941.99535962877,4667.582417582417,bajo,"(-30.461, 787.525]",4.0,4.0,18.0,3.0
12.0675722,76.93634039999998,La Molina,Lima,1310000.0,160.0,160.0,S/,8187.5,8187.5,bajo,"(-30.461, 787.525]",4.0,4.0,18.0,3.0
12.0895675,76.9236693,La Molina,Lima,2178000.0,333.0,303.0,S/,6540.540540540541,7188.118811881188,bajo,"(-30.461, 787.525]",4.0,4.0,18.0,3.0
12.0885567,76.92365909999998,La Molina,Lima,2124000.0,326.0,326.0,S/,6515.337423312883,6515.337423312883,bajo,"(-30.461, 787.525]",4.0,4.0,18.0,3.0
12.0743991,76.91689840000002,La Molina,Lima,4428000.0,1800.0,430.0,S/,2460.0,10297.67441860465,medio,"(-30.461, 787.525]",4.0,4.0,18.0,3.0
12.0738063,76.91425629999998,La Molina,Lima,3196000.0,520.0,413.0,S/,6146.153846153846,7738.498789346247,bajo,"(-30.461, 787.525]",4.0,4.0,18.0,3.0
12.0905428,76.92647809999998,La Molina,Lima,5400400.0,1376.0,465.0,S/,3924.7093023255816,11613.763440860215,medio,"(-30.461, 787.525]",4.0,4.0,18.0,3.0
12.08114892670837,76.90086204597169,La Molina,Lima,2275000.0,364.0,364.0,S/,6250.0,6250.0,bajo,"(-30.461, 787.525]",4.0,4.0,18.0,3.0
12.0874226,76.9088443,La Molina,Lima,2440000.0,511.0,470.0,S/,4774.951076320939,5191.489361702128,bajo,"(-30.461, 787.525]",4.0,4.0,18.0,3.0
12.092808222536528,76.92607251589966,La Molina,Lima,2082200.0,471.0,371.0,S/,4420.806794055202,5612.398921832884,bajo,"(-30.461, 787.525]",4.0,4.0,18.0,3.0
12.0801584,76.91416649999995,La Molina,Lima,2826000.0,701.0,333.0,S/,4031.383737517832,8486.486486486487,bajo,"(-30.461, 787.525]",4.0,4.0,18.0,3.0
12.1038844,76.94635129999998,La Molina,Lima,996800.0,365.0,365.0,S/,2730.958904109589,2730.958904109589,bajo,"(-30.461, 787.525]",4.0,4.0,18.0,3.0
12.0947632,76.95174240000001,La Molina,Lima,1560000.0,370.0,300.0,S/,4216.216216216216,5200.0,bajo,"(-30.461, 787.525]",4.0,4.0,18.0,3.0
12.069345599999998,76.96015009999998,La Molina,Lima,1368000.0,290.0,207.0,S/,4717.241379310345,6608.695652173913,bajo,"(-30.461, 787.525]",4.0,4.0,18.0,3.0
12.0820196,76.92823399999997,La Molina,Lima,3618800.0,1300.0,460.0,S/,2783.6923076923076,7866.95652173913,medio,"(-30.461, 787.525]",4.0,4.0,18.0,3.0
12.0801908,76.91959589999998,La Molina,Lima,1995000.0,700.0,700.0,S/,2850.0,2850.0,bajo,"(-30.461, 787.525]",4.0,4.0,18.0,3.0
12.08637,76.9521426,La Molina,Lima,5400000.0,1000.0,400.0,S/,5400.0,13500.0,medio,"(-30.461, 787.525]",4.0,4.0,18.0,3.0
12.071309146782813,76.94975331412917,La Molina,Lima,1278200.0,200.0,280.0,S/,6391.0,4565.0,bajo,"(-30.461, 787.525]",4.0,4.0,18.0,3.0
12.0812415,76.89900179999998,La Molina,Lima,2082500.0,380.0,340.0,S/,5480.263157894737,6125.0,bajo,"(-30.461, 787.525]",4.0,4.0,18.0,3.0
12.0822836,76.89674629999998,La Molina,Lima,1795000.0,319.0,300.0,S/,5626.959247648902,5983.333333333333,bajo,"(-30.461, 787.525]",4.0,4.0,18.0,3.0
12.086790400000002,76.935884,La Molina,Lima,4940400.0,1000.0,330.0,S/,4940.4,14970.90909090909,medio,"(-30.461, 787.525]",4.0,4.0,18.0,3.0
12.1027554,76.9377681,La Molina,Lima,678510.0,199.0,199.0,S/,3409.597989949749,3409.597989949749,bajo,"(-30.461, 787.525]",4.0,4.0,18.0,3.0
12.0791465,76.89348640000003,La Molina,Lima,1697000.0,340.0,340.0,S/,4991.176470588235,4991.176470588235,bajo,"(-30.461, 787.525]",4.0,4.0,18.0,3.0
7.948162359285901,78.93715877568357,La Molina,Lima,5250000.0,1000.0,500.0,S/,5250.0,10500.0,medio,"(-30.461, 787.525]",4.0,4.0,18.0,3.0
12.08759498657155,76.92428687221374,La Molina,Lima,2415000.0,312.0,333.0,S/,7740.384615384615,7252.252252252252,bajo,"(-30.461, 787.525]",4.0,4.0,18.0,3.0
12.1031309,76.94939819999998,La Molina,Lima,2060000.0,610.0,610.0,S/,3377.0491803278687,3377.0491803278687,bajo,"(-30.461, 787.525]",4.0,4.0,18.0,3.0
12.0687963,76.95098309999999,La Molina,Lima,2147000.0,284.0,284.0,S/,7559.859154929577,7559.859154929577,bajo,"(-30.461, 787.525]",4.0,4.0,18.0,3.0
12.0964106,76.9500858,La Molina,Lima,1800000.0,300.0,266.0,S/,6000.0,6766.917293233083,bajo,"(-30.461, 787.525]",4.0,4.0,18.0,3.0
12.0853136,76.92993320000002,La Molina,Lima,7000000.0,1281.0,345.0,S/,5464.48087431694,20289.855072463768,caro,"(-30.461, 787.525]",4.0,4.0,18.0,3.0
12.06049960116366,76.94442679306962,La Molina,Lima,1261600.0,166.0,252.0,S/,7600.0,5006.349206349207,bajo,"(-30.461, 787.525]",4.0,4.0,18.0,3.0
12.0896426,76.95186199999998,La Molina,Lima,2911000.0,471.0,331.0,S/,6180.467091295117,8794.561933534744,bajo,"(-30.461, 787.525]",4.0,4.0,18.0,3.0
12.0756385,76.9110056,La Molina,Lima,4282800.0,990.0,580.0,S/,4326.060606060606,7384.137931034483,medio,"(-30.461, 787.525]",4.0,4.0,18.0,3.0
12.10631814397918,76.94251037669068,La Molina,Lima,938980.0,161.0,161.0,S/,5832.173913043478,5832.173913043478,bajo,"(-30.461, 787.525]",4.0,4.0,18.0,3.0
12.0772863,76.9353723,La Molina,Lima,2822000.0,578.0,290.0,S/,4882.35294117647,9731.034482758621,bajo,"(-30.461, 787.525]",4.0,4.0,18.0,3.0
12.0867354,76.91238779999998,La Molina,Lima,2390400.0,435.0,409.0,S/,5495.172413793103,5844.498777506113,bajo,"(-30.461, 787.525]",4.0,4.0,18.0,3.0
12.0789774,76.9144079,La Molina,Lima,9590366.0,2350.0,474.0,S/,4081.006808510638,20232.83966244726,caro,"(-30.461, 787.525]",4.0,4.0,18.0,3.0
12.0709117,76.9419144,La Molina,Lima,1136000.0,214.0,214.0,S/,5308.411214953271,5308.411214953271,bajo,"(-30.461, 787.525]",4.0,4.0,18.0,3.0
12.08725927555382,76.92706564075316,La Molina,Lima,2372500.0,450.0,330.0,S/,5272.222222222223,7189.393939393939,bajo,"(-30.461, 787.525]",4.0,4.0,18.0,3.0
12.0789774,76.9144079,La Molina,Lima,9590366.0,2350.0,475.0,S/,4081.006808510638,20190.244210526314,caro,"(-30.461, 787.525]",4.0,4.0,18.0,3.0
12.0928523,76.93477759999998,La Molina,Lima,2844000.0,750.0,400.0,S/,3792.0,7110.0,bajo,"(-30.461, 787.525]",4.0,4.0,18.0,3.0
12.094844143582758,76.92590692645872,La Molina,Lima,4296000.0,1000.0,337.0,S/,4296.0,12747.774480712165,medio,"(-30.461, 787.525]",4.0,4.0,18.0,3.0
12.080067,76.96671469999998,La Molina,Lima,3883000.0,1178.0,590.0,S/,3296.264855687606,6581.35593220339,medio,"(-30.461, 787.525]",4.0,4.0,18.0,3.0
12.0937231,76.93636699999998,La Molina,Lima,7000000.0,1015.0,580.0,S/,6896.551724137931,12068.965517241379,caro,"(-30.461, 787.525]",4.0,4.0,18.0,3.0
