District,Predicted_price_m2,PCA_comp,Last_price_m2
lince,4311.089400682507,2.154859944928377,4318.382401363161
magdalena,4383.341366007456,2.154859944928377,4335.3762880352915
miraflores,4751.638103026631,2.154859944928377,5004.128916982142
pueblo libre,4110.74918968576,2.154859944928377,4345.914353397715
san borja,4494.050037095487,2.154859944928377,4225.908546213596
san isidro,4484.8047640591685,2.154859944928377,4232.859200298834
san miguel,3713.7654687908403,2.154859944928377,3610.7860210759227
surco,3946.7432866131726,2.154859944928377,3522.01179005027
magdalena,4184.552865225025,2.162083201513612,4237.653634170602
san isidro,5430.846524521193,2.162083201513612,5239.623587518583
surco,4215.1402731947865,2.162083201513612,4153.846352152326
la molina,3831.6047747580756,2.2583968587208862,3674.80797747902
miraflores,6405.004111793381,2.2583968587208862,6463.543472321188
san borja,5060.1489416635,2.2583968587208862,4461.51226324389
san isidro,5854.252185290174,2.2583968587208862,6667.587934834688
surco,4893.798233129356,2.2583968587208862,4720.319146035834
jesús maría,4122.894504618953,2.401871810718553,4676.416122551286
lince,4603.304467256556,2.401871810718553,4086.4042623907917
magdalena,3710.78656709202,2.401871810718553,3397.7920646716843
pueblo libre,3678.63395301094,2.401871810718553,3719.0389780103415
san miguel,3443.8098750256077,2.401871810718553,3368.664492719445
jesús maría,4012.318539589869,2.409095067303788,4083.934972335197
lince,4257.456524759465,2.409095067303788,4209.3015367833
san miguel,3327.5162494953224,2.409095067303788,3344.994566903636
la molina,3402.058941294143,2.5054087245110623,3058.4140857949806
miraflores,5623.089958088692,2.5054087245110623,5802.5434651168725
san borja,4771.573219738589,2.5054087245110623,4145.277717956153
san isidro,5452.200139146354,2.5054087245110623,5820.097213630875
surco,4325.692497347875,2.5054087245110623,4616.819850228106
pueblo libre,3628.1665254794675,2.560240549433754,3787.7519248608737
barranco,5441.547065785803,2.663777463226263,5570.667217266731
jesús maría,4397.093563194783,2.663777463226263,4513.215102190798
la molina,4562.217015292421,2.663777463226263,4054.9671443892908
magdalena,4819.352505344931,2.663777463226263,5981.298449356693
miraflores,5588.684850626555,2.663777463226263,6083.554035151566
pueblo libre,3838.0903600804613,2.663777463226263,3109.957039492642
san borja,4874.812363213959,2.663777463226263,4509.273683816458
san isidro,5811.744231190954,2.663777463226263,6358.959672847698
san miguel,3429.0979277189726,2.663777463226263,3606.166565106336
surco,4538.555275373408,2.663777463226263,4484.261751288671
miraflores,5942.20366228641,2.671000719811498,5816.276624008381
san isidro,5337.6503837622595,2.671000719811498,5048.471474300617
jesús maría,4360.912362270254,2.800029158638696,4513.215102190798
jesús maría,3692.309479847995,2.8072524152239304,3510.2907562307832
pueblo libre,3768.5346643905473,2.8072524152239304,3813.0777614648946
san miguel,3100.812381189147,2.8072524152239304,2763.099827148472
jesús maría,4743.675151503607,2.9107893290164397,4359.912486743496
la molina,3824.325310901414,2.9107893290164397,3657.1197339683563
lince,4360.11367386192,2.9107893290164397,4598.042531227813
magdalena,4566.176537611562,2.9107893290164397,4785.283681397858
miraflores,4955.434127801798,2.9107893290164397,5093.939279988714
pueblo libre,4063.120819690727,2.9107893290164397,4067.8571417708267
san borja,4543.051866608812,2.9107893290164397,4641.020730222361
san isidro,4584.060534750348,2.9107893290164397,5011.010715514688
san miguel,3912.026653567697,2.9107893290164397,3622.8839079599675
surco,4212.562501193582,2.9107893290164397,3992.481047026583
magdalena,4394.49564358222,2.918012585601674,4021.8361965416348
miraflores,5706.246202790356,2.918012585601674,5835.648269725407
san isidro,4957.300812118223,2.918012585601674,5248.10702653233
miraflores,5815.087876776666,3.014326242808949,5651.061286463648
san borja,4766.435260831415,3.014326242808949,4758.520687542393
