,Antiguedad,Anunciante,Balneario,NroBanios,Nro_pisos,Cocheras,Dormitorios,Estado de Inmueble,Luminosidad,Mascotas,Precio,Tipo,TipoCochera,Uso_comercial,Uso_profesional,latitud,longitud,Area_constr_m2,Area_total_m2,'Cuarto de servicio','Deposito','Terraza','Kitchenette','Sala de estar','Sotano','Patio','anx81tico','Comedor diario','Comedor','Banio de servicio','Jardanxadn Interno','Walking Closet','Escritorio','Cocina','Banio independiente','Lavanderanxada','Balcon','Sala','Closet','Banio de visitas','Agua','Guardiananxada','Internet','Luz','Cable','Servicio de Limpieza','Conexion a gas','Sistema de seguridad','Telefono','Areadeportiva','Piscina','Solarium','Sala de internet','Sala de cine','Jardanxadn','Parque interno','Guarderanxada','anx81reas verdes','Club House','Hall de ingreso','Areade BBQ','Gimnasio','Areade sauna','Juegos para ninios','Ingreso independiente','Colegios cercanos','Cerca al mar','Centros comerciales cercanos','Parques cercanos','Acceso personas discapacidad','Frente al mar','Desagaue','Jacuzzi','Chimenea','Intercomunicador','Cerco Electrico','Parrilla','Aire acondicionado','Amoblado','Sauna','Calefaccion','Equipado','Terma','Portero electrico','Cocina con reposteros',Distrito,Provincia,geohash_grado6,geohash_grado5,geohash_grado7,geohash_grado8,preciom2_area_total,preciom2_area_constr,grupo_dist,area_ponderada,probability
5276,9.0,475,80,5.0,3.0,2.0,4,4,2,1,1200000.0,4,1,1,1,-12.0977743,-76.9734855,400.0,330.0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,2,2,2,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,140,12,687,102,2298,2949,2002.7145887498311,2522.37028455222,1,183.39413358092781,
5277,6.0,475,80,4.0,2.0,5.0,2,4,2,1,620000.0,0,3,1,1,-12.065143699999998,-76.88146429999998,409.0,500.0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,2,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,70,12,782,108,3094,4313,1971.8670147155633,2840.748410093181,1,690.5876263447939,
5278,3.0,475,80,5.0,2.0,3.0,2,3,2,1,1300000.0,0,1,1,1,-12.083365400000002,-76.96346159999997,400.0,674.0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,2,2,2,2,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,140,12,727,104,2640,3509,2002.7145887498311,2522.37028455222,1,1247.8572485546538,
5279,1.0,475,80,3.0,1.0,5.0,2,4,2,1,650000.0,3,1,1,1,-13.4392549,-76.0827008,937.0,8564.0,1,0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,2,2,2,2,2,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,8,50,26,63,65,76.10724058441521,908.4259257152263,2,24537.756331118053,
5280,1.0,475,42,4.0,2.0,2.0,4,3,2,0,170000.0,1,1,1,1,-12.736172621699,-76.630260944366,150.0,120.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,2,2,2,2,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7,12,158,51,306,367,1996.8556544786154,2005.1744855795348,1,57.16891439182621,
5281,2.0,475,80,4.0,2.0,2.0,3,6,2,1,620000.0,4,3,1,1,-12.0994194,-76.9447515,288.0,320.0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,70,12,707,103,2468,3219,1971.8670147155633,2840.748410093181,1,387.0198246487188,
5282,3.0,475,80,3.0,1.0,1.0,4,0,2,1,570000.0,0,1,1,1,-12.1358387,-77.0179152,355.0,244.0,1,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,91,12,283,71,625,768,2596.08779975437,2361.150732569044,1,11.524983249757042,
5283,2.0,475,78,4.0,3.0,3.0,4,4,2,1,550000.0,1,1,1,1,-12.7778228,-76.5997501,350.0,256.0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,12,122,47,197,222,1996.8556544786154,2005.1744855795348,1,59.129265094388764,
5284,3.0,475,80,3.0,3.0,2.0,2,6,2,1,1400000.0,0,1,1,1,-12.100866900000002,-77.03478709999997,350.0,300.0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,1,2,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,2,2,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,123,12,366,76,1203,1551,3146.749285200451,3144.853126494101,1,195.28152398637698,
5285,3.0,475,80,3.0,2.0,1.0,1,6,2,1,310000.0,0,1,1,1,-12.1197163,-76.991024,152.0,300.0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,2,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,140,12,671,102,2108,2622,2002.7145887498311,2522.37028455222,1,609.9666890003241,
