iter	Passed	Remaining
613	3624	2278
614	3630	2272
615	3635	2266
616	3641	2260
617	3647	2254
618	3652	2247
619	3657	2241
620	3664	2236
621	3669	2230
622	3675	2224
623	3681	2218
624	3686	2212
625	3692	2206
626	3697	2199
627	3703	2193
628	3709	2187
629	3715	2181
630	3721	2176
631	3726	2170
632	3732	2163
633	3738	2158
634	3743	2152
635	3749	2145
636	3754	2139
637	3760	2133
638	3765	2127
639	3772	2121
640	3778	2115
641	3784	2110
642	3789	2104
643	3795	2098
644	3800	2091
645	3806	2085
646	3811	2079
647	3817	2073
648	3823	2067
649	3828	2061
650	3834	2055
651	3839	2049
652	3845	2043
653	3850	2037
654	3855	2030
655	3862	2025
656	3867	2019
657	3873	2013
658	3879	2007
659	3885	2001
660	3890	1995
661	3896	1989
662	3901	1983
663	3907	1977
664	3912	1970
665	3918	1964
666	3924	1959
667	3929	1952
668	3934	1946
669	3940	1940
670	3945	1934
671	3951	1928
672	3957	1922
673	3962	1916
674	3968	1910
675	3974	1904
676	3979	1898
677	3984	1892
678	3990	1886
679	3996	1880
680	4002	1874
681	4007	1868
682	4013	1862
683	4019	1856
684	4024	1850
685	4030	1844
686	4035	1838
687	4041	1832
688	4046	1826
689	4052	1820
690	4058	1814
691	4063	1808
692	4069	1802
693	4076	1797
694	4086	1793
695	4091	1787
696	4097	1781
697	4105	1776
698	4110	1770
699	4116	1764
700	4121	1758
701	4127	1751
702	4132	1745
703	4138	1739
704	4143	1733
705	4149	1727
706	4154	1721
707	4159	1715
708	4165	1709
709	4170	1703
710	4175	1697
711	4181	1691
712	4187	1685
713	4192	1679
714	4198	1673
715	4203	1667
716	4209	1661
717	4215	1655
718	4220	1649
719	4225	1643
720	4231	1637
721	4236	1631
722	4243	1625
723	4255	1622
724	4270	1619
725	4276	1614
726	4286	1609
727	4292	1603
728	4299	1598
729	4305	1592
730	4311	1586
731	4316	1580
732	4322	1574
733	4328	1568
734	4333	1562
735	4339	1556
736	4345	1550
737	4350	1544
738	4355	1538
739	4361	1532
740	4366	1526
741	4372	1520
742	4378	1514
743	4383	1508
744	4389	1502
745	4394	1496
746	4400	1490
747	4406	1484
748	4411	1478
749	4417	1472
750	4423	1466
751	4428	1460
752	4433	1454
753	4439	1448
754	4444	1442
755	4453	1437
756	4459	1431
757	4465	1425
758	4470	1419
759	4476	1413
760	4481	1407
761	4487	1401
762	4492	1395
763	4498	1389
764	4504	1383
765	4509	1377
766	4514	1371
767	4520	1365
768	4526	1359
769	4531	1353
770	4537	1347
771	4542	1341
772	4548	1335
773	4553	1329
774	4559	1323
775	4564	1317
776	4571	1311
777	4576	1305
778	4582	1300
779	4588	1294
780	4593	1288
781	4599	1282
782	4605	1276
783	4610	1270
784	4615	1264
785	4621	1258
786	4626	1252
787	4631	1246
788	4638	1240
789	4643	1234
790	4649	1228
791	4654	1222
792	4660	1216
793	4666	1210
794	4671	1204
795	4677	1198
796	4683	1192
797	4688	1186
798	4694	1180
799	4700	1175
800	4705	1169
801	4710	1162
802	4716	1157
803	4722	1151
804	4727	1145
805	4733	1139
806	4738	1133
807	4744	1127
808	4749	1121
809	4755	1115
810	4761	1109
811	4766	1103
812	4772	1097
813	4777	1091
814	4782	1085
815	4788	1079
816	4793	1073
817	4799	1067
818	4805	1061
819	4811	1056
820	4816	1050
821	4822	1044
822	4827	1038
823	4833	1032
824	4838	1026
825	4844	1020
826	4850	1014
827	4855	1008
828	4861	1002
829	4867	996
830	4873	991
831	4879	985
832	4884	979
833	4889	973
834	4895	967
835	4900	961
836	4906	955
837	4912	949
838	4917	943
839	4923	937
840	4929	932
841	4935	926
842	4940	920
843	4946	914
844	4951	908
845	4958	902
846	4963	896
847	4968	890
848	4974	884
849	4980	878
850	4985	872
851	4991	867
852	4997	861
853	5003	855
854	5008	849
855	5014	843
856	5019	837
857	5025	831
858	5030	825
859	5036	819
860	5041	813
861	5047	808
862	5053	802
863	5058	796
864	5063	790
865	5069	784
866	5075	778
867	5086	773
868	5095	768
869	5100	762
870	5105	756
871	5111	750
872	5115	744
873	5121	738
874	5126	732
875	5131	726
876	5136	720
877	5141	714
878	5146	708
879	5152	702
880	5157	696
881	5162	690
882	5168	684
883	5173	678
884	5178	672
885	5184	667
886	5189	661
887	5194	655
888	5199	649
889	5205	643
890	5210	637
891	5215	631
892	5220	625
893	5225	619
894	5235	614
895	5255	609
896	5261	604
897	5269	598
898	5275	592
899	5280	586
900	5286	580
901	5291	574
902	5297	569
903	5302	563
904	5308	557
905	5313	551
906	5319	545
