element_type,osmid,amenity,name,geometry
node,1863374569,bank,Banco de la Nación Plaza San José,POINT (-77.04863229999999 -12.0739331)
node,1863374572,bank,Banco de la Nación,POINT (-77.03880460000001 -12.0736876)
node,1863374581,bank,Banco de la Nación,POINT (-77.0918229 -12.0774436)
node,1863374586,bank,Banco de la Nación La Victoria,POINT (-77.0131391 -12.0804889)
node,1863374591,bank,Banco de la Nación,POINT (-77.035805 -12.082449)
node,1863374623,bank,Banco de la Nación,POINT (-77.072632 -12.089293)
node,1863374628,bank,Banco de la Nación Javier Prado,POINT (-77.0336002 -12.0927536)
node,1863374633,bank,Banco de la Nación,POINT (-77.05932970000001 -12.0957199)
node,1863374639,bank,Banco de la Nación,POINT (-77.0278828 -12.0965386)
node,1863374664,bank,Banco de la Nación,POINT (-77.0718535 -12.0974322)
node,1863374666,bank,Banco de la Nación,POINT (-77.017261 -12.097696)
node,1863374668,bank,Banco de la Nación,POINT (-77.0144391 -12.0984336)
node,1863374670,bank,Banco de la Nación,POINT (-76.9885668 -12.1003441)
node,1863374701,bank,Banco de la Nación,POINT (-76.97727399999999 -12.120817)
node,1863374710,parking,Parqueo,POINT (-77.03103400000001 -12.1241147)
node,1863374753,bank,Banco de la Nación,POINT (-77.0032961 -12.1528052)
node,1904507986,clinic,Policlínico Pronto Salud Solidario,POINT (-77.0289198 -12.0673621)
node,1904508029,clinic,Policlinico Solidario San Juan de Miraflores,POINT (-76.9733039 -12.1614071)
node,1907361915,school,CEBA David Wechsler,POINT (-77.03942000000001 -12.0455)
node,1907379832,college,CETPRO Nueva América,POINT (-77.04239 -12.04687)
node,1907381914,college,CETPRO CREATEC,POINT (-77.03926 -12.0598)
node,1907390350,college,CETPRO Honorio Delgado Espinoza,POINT (-77.0362403 -12.077629)
node,1917955126,bank,BCP Torrr Siglo XXI,POINT (-77.02214170000001 -12.0976287)
node,1917955829,bank,Citibank,POINT (-77.0208045 -12.0975093)
node,1917959961,bank,InterBank,POINT (-77.0233755 -12.0967558)
node,1917959962,bank,BBVA Banco Continental,POINT (-77.02351299999999 -12.0967379)
node,1917959963,bank,BCP Corpac,POINT (-77.0234454 -12.0967474)
node,1917980638,bank,BBVA Banco Continental,POINT (-77.0602179 -12.0068798)
node,1917980639,bank,BCP Lima Plaza Norte,POINT (-77.0600106 -12.0069872)
node,1917986226,bank,BBVA Continental Mega Plaza,POINT (-77.0624838 -11.9945134)
node,1917986229,bank,BCP Mega Plaza I,POINT (-77.062403 -11.9946498)
node,1917986238,bank,Banco Interbank,POINT (-77.0625532 -11.994398)
node,1917986270,bank,Scotiabank Mega Plaza I,POINT (-77.0623566 -11.9949542)
node,1918004231,bank,MiBanco,POINT (-77.0640921 -11.9944345)
node,1918007753,restaurant,KFC,POINT (-77.0624237 -11.9960376)
node,1918015075,bank,BCP Mega Plaza II,POINT (-77.0593714 -11.9942404)
node,1918015082,bank,Banco InterBank,POINT (-77.059299 -11.9945211)
node,1918015086,bank,BBVA Banco Continental,POINT (-77.05934190000001 -11.9943794)
node,1918035978,restaurant,Rustica,POINT (-77.061981 -11.9901477)
node,1918035980,bank,BCP Multiplaza,POINT (-77.0620266 -11.9899903)
node,1921401087,restaurant,,POINT (-77.0275443 -12.0888159)
node,1921401337,restaurant,Gusto & Punto,POINT (-77.0264184 -12.0884367)
node,1921401338,restaurant,,POINT (-77.0268581 -12.0887203)
node,1922785513,restaurant,El Cangrejo Reventado,POINT (-77.0271005 -12.0895837)
node,1922787042,restaurant,Los Piuranos,POINT (-77.0285299 -12.0897136)
node,1922791447,restaurant,Chifa Hotel,POINT (-77.0262077 -12.0897828)
node,1922791450,bank,BBVA,POINT (-77.02698220000001 -12.0905362)
node,1922792722,restaurant,Polleria Villa Chicken,POINT (-77.026948 -12.0907743)
node,1922794869,restaurant,,POINT (-77.027479 -12.0892688)
node,1922933460,restaurant,Pizza Hut,POINT (-77.0288493 -12.1199146)
node,1922933475,parking,,POINT (-77.0359459 -12.1223605)
node,1924741786,restaurant,,POINT (-77.0241596 -12.089629)
node,1943009024,restaurant,D'Julia,POINT (-77.0697404 -12.0893079)
node,1943034723,school,Institución Educativa Reina Del Carmelo,POINT (-77.0620646 -12.0881595)
node,1943073179,restaurant,Roky's,POINT (-77.07306250000001 -12.0925783)
node,1943482183,restaurant,Comedor de Arte,POINT (-77.0795723 -12.0705114)
node,1943486021,clinic,Centro Médico PUCP,POINT (-77.07921140000001 -12.0697573)
node,1943486022,bank,Tesorería Central,POINT (-77.07953999999999 -12.0695449)
node,1966842216,school,CEBA Ceba - Coronel Portillo,POINT (-77.0095779 -12.0269455)
node,1966842218,school,CEBA Ceba - Santa María,POINT (-77.0149242 -11.9934636)
node,1966842219,college,CETPRO Adevic,POINT (-76.9841796 -12.0128925)
node,1966842220,college,CETPRO Gastromundo Turismo Corporacion Cil,POINT (-77.01103999999999 -12.02811)
node,1966842222,college,CETPRO Jacqueline,POINT (-77.0116055 -12.0297074)
node,1966842223,college,CETPRO Jorge Chavez,POINT (-77.00004 -12.02723)
node,1966842224,college,CETPRO Lider Car,POINT (-77.0094551 -11.999551)
node,1966842225,college,CETPRO Mangomarca,POINT (-76.98481 -12.01911)
node,1966842227,college,CETPRO Ofimtec,POINT (-77.00033000000001 -12.02509)
node,1966842228,college,CETPRO Profesional Computer,POINT (-77.0106913 -11.9922224)
node,1966842230,college,CETPRO Sise,POINT (-77.00523 -12.00788)
node,1966842231,college,CETPRO Tecnico San Hilarion,POINT (-77.010047 -12.0058161)
node,1966842232,college,CETPRO Walt Whitman,POINT (-77.0101968 -11.9940528)
node,1966842244,school,Institución Educativa 0092 Alfred Nobel,POINT (-77.0071215 -11.998544)
node,1966842246,school,Institución Educativa 0128 La Libertad,POINT (-76.99784 -12.0086)
node,1966842249,school,Institución Educativa 0134 Mario Florian,POINT (-77.00632419999999 -12.0108599)
node,1966842264,school,Institución Educativa 109 Inca Manco Capac,POINT (-76.99966259999999 -11.99836)
node,1966842272,school,Institución Educativa 1181 Albert Einstein,POINT (-77.0139152 -12.0054357)
node,1966842273,school,Institución Educativa 121 Virgen De Fatima,POINT (-77.01857 -12.00197)
node,1966842278,school,Institución Educativa Alexander Graham Bell,POINT (-77.01155 -11.98287)
node,1966842279,school,Colegio Alfa,POINT (-77.00655999999999 -12.00434)
node,1966842280,school,Institución Educativa Amigos De Jesus,POINT (-77.00964 -12.00421)
node,1966842281,school,Institución Educativa Angelo Patri De Zarate,POINT (-77.00329000000001 -12.02722)
node,1966842282,school,Institución Educativa Angelo Patri,POINT (-76.96230060000001 -12.0096387)
node,1966842283,school,Institución Educativa Anglo Americano,POINT (-77.00219010000001 -11.9881107)
node,1966842291,school,Colegio Anton Makarenko,POINT (-77.00199379999999 -12.0041719)
node,1966842295,school,Institución Educativa Anyergel,POINT (-77.00078000000001 -12.00665)
node,1966842299,school,Institución Educativa Apostol Eusebio Menard,POINT (-77.0113291 -11.9967349)
node,1966842304,school,Institución Educativa Apostol San Judas Tadeo,POINT (-77.0143927 -12.003209)
node,1966842310,school,Colegio Appu-San Carlos,POINT (-76.9889 -12.02523)
node,1966842315,school,Institución Educativa Arca De Noe,POINT (-77.01799 -11.98189)
node,1966842320,school,Institución Educativa Asambleas De Dios,POINT (-76.97266 -12.02426)
node,1966842326,school,Institución Educativa Asociación Educativa De Jesus,POINT (-76.98522 -12.01445)
node,1966842332,school,Institución Educativa Augusto Cardich,POINT (-77.00745999999999 -11.99097)
node,1966842334,school,Institución Educativa Benjamin Franklin,POINT (-76.9597316 -12.0216066)
node,1966842335,school,Institución Educativa Bethel,POINT (-77.0003998 -11.9996885)
node,1966842336,school,Institución Educativa Blas Pascal,POINT (-77.0029595 -12.0247318)
node,1966842337,school,Institución Educativa Capitan Alipio Ponce Vasquez,POINT (-77.0149067 -11.983062)
node,1966842338,school,Institución Educativa Catolica De Santa Maria,POINT (-77.00962 -12.0131)
node,1966842339,school,Colegio Catolico San Juan,POINT (-76.9999634 -12.0023829)
node,1966842340,school,Colegio Cayetano Heredia Sanchez,POINT (-77.0036448 -12.0136623)
node,1966842341,school,Colegio Charles Darwin,POINT (-77.00605 -11.987149)
node,1966842342,school,Institución Educativa Ciencias,POINT (-76.99814000000001 -12.02185)
node,1966842345,school,Institución Educativa Cristo Nazareno,POINT (-76.99692 -12.00009)
node,1966842346,school,Institución Educativa Cristo Rey,POINT (-76.9857523 -12.0148689)
node,1966842347,school,Institución Educativa Cristony,POINT (-77.0114914 -11.9908792)
node,1966842348,school,Institución Educativa David Ausubel,POINT (-77.0098947 -12.0114436)
node,1966842349,school,Institución Educativa Diego Thomson,POINT (-76.99488700000001 -12.0020796)
node,1966842351,school,Colegio Divina Providencia,POINT (-76.9865319 -12.0242697)
node,1966842352,school,Institución Educativa Divino Maestro,POINT (-77.0003774 -12.0056623)
node,1966842353,school,Colegio Divino Niño Jesus,POINT (-76.9846288 -12.0181541)
node,1966842354,school,Institución Educativa Divino Salvador,POINT (-77.01337580000001 -12.0031135)
node,1966842355,school,Institución Educativa Divino Sembrador,POINT (-77.00288999999999 -11.98829)
node,1966842356,school,Institución Educativa El Americano De San Gabriel,POINT (-76.99978 -11.9892957)
node,1966842358,school,Institución Educativa El Carmelo,POINT (-77.0072658 -12.0119923)
node,1966842359,school,Institución Educativa El Pequeño Mundo De Maria,POINT (-76.9956274 -12.0264012)
node,1966842361,school,Colegio El Rosal de María,POINT (-76.9986 -12.0073)
node,1966842363,school,Colegio Emanuel,POINT (-77.0086462 -12.0252091)
node,1966842367,school,Institución Educativa Flora Tristan,POINT (-77.01351 -12.00705)
node,1966842368,school,Institución Educativa Gabriela Mistral,POINT (-77.00955999999999 -12.0214)
node,1966842369,school,Institución Educativa Gustavo Adolfo Becquer I,POINT (-77.01477 -12.02588)
node,1966842370,school,Colegio Gustavo Adolfo Becquer,POINT (-76.9909019 -12.0226176)
node,1966842371,school,Institución Educativa Hans Christian Andersen,POINT (-76.9655899 -12.0189065)
node,1966842372,school,Institución Educativa Hermes De Sophia,POINT (-77.0057108 -11.999628)
node,1966842373,school,Institución Educativa Heroina Micaela Bastidas,POINT (-77.00320000000001 -12.00376)
node,1966842374,school,Institución Educativa Hijos De Maria Auxiliadora,POINT (-76.9972539 -12.0040116)
node,1966842375,school,Institución Educativa Horizonte Del Saber,POINT (-76.9967651 -12.0137855)
node,1966842376,school,Institución Educativa Hudson Taylor,POINT (-76.96910990000001 -12.0223829)
node,1966842377,school,Colegio Humboldt,POINT (-76.98968000000001 -12.02414)
node,1966842379,school,Institución Educativa Ingenieria,POINT (-76.98889939999999 -12.0252169)
node,1966842380,school,Institución Educativa Inmaculado Corazon De Jesus,POINT (-77.00783 -12.01503)
node,1966842381,school,Institución Educativa Inmaculado Corazon De Maria,POINT (-77.01584579999999 -12.00698)
node,1966842382,school,Colegio Intelectus,POINT (-77.01452999999999 -12.00209)
node,1966842384,school,Institución Educativa James Bradley,POINT (-77.0025551 -12.026417)
node,1966842388,school,Colegio Jean Leblanc,POINT (-77.0158404 -11.9938292)
node,1966842391,school,Institución Educativa Jesus De Belen,POINT (-77.0016463 -11.9897984)
node,1966842392,school,Institución Educativa Jesus El Amauta,POINT (-77.01172390000001 -12.0178918)
